Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0.000149721425259
2024.08.01 06:00:00,0.000405131781008
2024.08.01 07:00:00,0.00067094899714
2024.08.01 08:00:00,0.000860250496771
2024.08.01 09:00:00,0.000945724139456
2024.08.01 10:00:00,0.00111545599066
2024.08.01 11:00:00,0.00119037181139
2024.08.01 12:00:00,0.00126676622313
2024.08.01 13:00:00,0.00122659828048
2024.08.01 14:00:00,0.00116323761176
2024.08.01 15:00:00,0.00114199018572
2024.08.01 16:00:00,0.00105792551767
2024.08.01 17:00:00,0.000940242083743
2024.08.01 18:00:00,0.000879526487552
2024.08.01 19:00:00,0.000876432168297
2024.08.01 20:00:00,0.000871815369464
2024.08.01 21:00:00,0.000851126911584
2024.08.01 22:00:00,0.000826942152344
2024.08.01 23:00:00,0.000798662716988
2024.08.02 00:00:00,0.000781887152698
2024.08.02 01:00:00,0.000758827838581
2024.08.02 02:00:00,0.000730246363673
2024.08.02 03:00:00,0.000709872459993
2024.08.02 04:00:00,0.000683215155732
2024.08.02 05:00:00,0.000662480480969
2024.08.02 06:00:00,0.000635525851976
2024.08.02 07:00:00,0.000602811633144
2024.08.02 08:00:00,0.000566509785131
2024.08.02 09:00:00,0.000532297359314
2024.08.02 10:00:00,0.000505891861394
2024.08.02 11:00:00,0.000503971648868
2024.08.02 12:00:00,0.000489651923999
2024.08.02 13:00:00,0.000465983845061
2024.08.02 14:00:00,0.000454923720099
2024.08.02 15:00:00,0.000443787284894
2024.08.02 16:00:00,0.000426150247222
2024.08.02 17:00:00,0.000407900690334
2024.08.02 18:00:00,0.000390604458516
2024.08.02 19:00:00,0.000378887460101
2024.08.02 20:00:00,0.0003774415527
2024.08.02 21:00:00,0.000374311726773
2024.08.02 22:00:00,0.000365423387848
2024.08.02 23:00:00,0.000352204253431
2024.08.03 00:00:00,0.000340258062351
2024.08.03 01:00:00,0.000332813215209
2024.08.03 02:00:00,0.000333011761541
2024.08.03 03:00:00,0.000332823256031
2024.08.03 04:00:00,0.000328253110638
2024.08.03 05:00:00,0.000323383603245
2024.08.03 06:00:00,0.000318695150781
2024.08.03 07:00:00,0.000310095230816
2024.08.03 08:00:00,0.000300543586491
2024.08.03 09:00:00,0.000292596640065
2024.08.03 10:00:00,0.000282820430584
2024.08.03 11:00:00,0.000275619764579
2024.08.03 12:00:00,0.00026796120801
2024.08.03 13:00:00,0.000262878515059
2024.08.03 14:00:00,0.000254644139204
2024.08.03 15:00:00,0.000252994475886
2024.08.03 16:00:00,0.00024788590963
2024.08.03 17:00:00,0.00024432799546
2024.08.03 18:00:00,0.000239995031734
2024.08.03 19:00:00,0.000237327054492
2024.08.03 20:00:00,0.00023199156567
2024.08.03 21:00:00,0.000222533068154
2024.08.03 22:00:00,0.000220339294174
2024.08.03 23:00:00,0.000213925115531
2024.08.04 00:00:00,0.0002093079529
2024.08.04 01:00:00,0.000208192956052
